concept_name,cancer_type
Subacute monocytic leukemia,leukemia
Primary malignant neoplasm of upper gum,head and neck
Malignant lymphoma of intrapelvic lymph nodes,lymphoma/lymphoid
Burkitt's lymphoma of intra-abdominal lymph nodes,lymphoma/lymphoid
Monocytic leukemia,leukemia
Malignant poorly differentiated neuroendocrine carcinoma,neuroendocrine
Primary malignant neoplasm of posterior mediastinum,unknown
Malignant neoplastic disease in pregnancy,unknown
Malignant melanoma of skin of lip,skin
Overlapping malignant neoplasm of soft tissues,soft tissue sarcoma
Kaposi's sarcoma of palate,soft tissue sarcoma
Malignant neoplasm of abdomen,unknown
"Malignant neoplasm of eyeball excluding conjunctiva, cornea, retina and choroid",eye/ocular
Malignant carcinoid tumor of colon,neuroendocrine
Primary malignant neoplasm of lateral wall of oropharynx,head and neck
Primary malignant neoplasm of isthmus of uterus,uterine/endometrial
Primary malignant neoplasm of visceral pleura,lung/respiratory tract/pleura
Follicular non-Hodgkin's lymphoma diffuse follicle center sub-type grade 1,lymphoma/lymphoid
Primary malignant neoplasm of paraganglion,neuroendocrine
Burkitt's tumor of lymph nodes of axilla AND/OR upper limb,lymphoma/lymphoid
"Hodgkin's disease, mixed cellularity of intrathoracic lymph nodes",lymphoma/lymphoid
Malignant mesothelioma of pleura,mesothelioma
Primary malignant neoplasm of postcricoid region,head and neck
Primary malignant neoplasm of nervous system,brain
Primary mediastinal (thymic) large B-cell lymphoma,lymphoma/lymphoid
Primary cutaneous CD30+ large T-cell lymphoma,lymphoma/lymphoid
Primary malignant neoplasm of lacrimal drainage system,eye/ocular
Primary malignant neoplasm of carotid body,neuroendocrine
Hodgkin's disease of extranodal AND/OR solid organ site,lymphoma/lymphoid
Primary malignant neoplasm of urachus,urinary tract/bladder
Primary malignant neoplasm of intestinal tract,small intestine
Kaposi's sarcoma of lymph nodes,soft tissue sarcoma
Hepatosplenic T-cell lymphoma,lymphoma/lymphoid
"Nodular lymphoma of lymph nodes of head, face and neck",lymphoma/lymphoid
Malignant tumor of nasopharynx,nasopharyngeal
Primary malignant neoplasm of palate,head and neck
"Diffuse non-Hodgkin's lymphoma, lymphoblastic (clinical)",lymphoma/lymphoid
Malignant neoplasm of anterior wall of urinary bladder,urinary tract/bladder
Adult T-cell leukemia/lymphoma,leukemia
Nodular lymphoma of spleen,lymphoma/lymphoid
Myeloid leukemia in remission,leukemia
Overlapping malignant neoplasm of stomach,stomach
"Hodgkin's disease, lymphocytic-histiocytic predominance of lymph nodes of axilla AND/OR upper limb",lymphoma/lymphoid
Primary malignant neoplasm of submaxillary gland,salivary gland
Primary squamous cell carcinoma of skin of right upper limb,skin
Overlapping malignant neoplasm of esophagus,esophagus
Overlapping malignant neoplasm of pancreas,pancreas
Diffuse large B-cell lymphoma,lymphoma/lymphoid
Primary malignant neoplasm of frontal sinus,head and neck
Mycosis fungoides of lymph nodes of axilla AND/OR upper limb,lymphoma/lymphoid
Overlapping malignant neoplasm of tonsil,head and neck
"Hodgkin's disease, lymphocytic-histiocytic predominance of lymph nodes of head, face AND/OR neck",lymphoma/lymphoid
Primary malignant neoplasm of epididymis,male genital
Malignant neoplasm of connective and soft tissue of abdomen,soft tissue sarcoma
Malignant carcinoid tumor of rectum,neuroendocrine
Primary malignant neoplasm of lesser curvature of stomach,stomach
Primary malignant neoplasm of labia majora,vulvar
Primary malignant neoplasm of tonsillar fossa,head and neck
Acute monocytic/monoblastic leukemia,leukemia
Malignant neoplasm of nipple and areola of male breast,breast
Overlapping malignant neoplasm of palate,head and neck
Letterer-Siwe disease of spleen,histiocytosis
Acute panmyelosis with myelofibrosis,leukemia
Hodgkin's disease of spleen,lymphoma/lymphoid
Malignant neoplasm of skin of ear and external auditory canal,skin
Plasma cell leukemia in remission,leukemia
"Anaplastic large cell lymphoma, ALK negative",lymphoma/lymphoid
Primary malignant neoplasm of posterior wall of oropharynx,head and neck
Refractory anemia with excess blasts-2,myelodysplastic syndromes
Nodular lymphoma of lymph nodes of axilla and upper limb,lymphoma/lymphoid
Sebaceous adenocarcinoma of eyelid,skin
Primary malignant neoplasm of scrotum,male genital
Kaposi's sarcoma of lung,soft tissue sarcoma
Burkitt's lymphoma of lymph nodes of multiple sites,lymphoma/lymphoid
"Malignant neoplasm of peripheral nerves of lower limb, including hip",soft tissue sarcoma
Primary malignant neoplasm of prepuce,male genital
Lymphosarcoma of intrapelvic lymph nodes,lymphoma/lymphoid
Primary malignant neoplasm of lacrimal gland,eye/ocular
Overlapping malignant neoplasm of body of uterus,uterine/endometrial
Refractory cytopenia with multilineage dysplasia,myelodysplastic syndromes
Diffuse non-Hodgkin's lymphoma,lymphoma/lymphoid
Reticulosarcoma of lymph nodes of axilla and upper limb,lymphoma/lymphoid
Burkitt's lymphoma of lymph nodes of inguinal region and lower limb,lymphoma/lymphoid
Anaplastic large T-cell systemic malignant lymphoma,lymphoma/lymphoid
Primary basal cell carcinoma of left eyelid,skin
Primary malignant neoplasm of lateral portion of floor of mouth,head and neck
Primary malignant neoplasm of junctional zone of tongue,head and neck
Malignant carcinoid tumor of stomach,neuroendocrine
Primary malignant neoplasm of pyriform sinus,head and neck
"Hodgkin's disease, nodular sclerosis of spleen",lymphoma/lymphoid
Primary malignant neoplasm of spleen,unknown
Overlapping malignant neoplasm of male breast,breast
"Hodgkin's disease, mixed cellularity of lymph nodes of head, face AND/OR neck",lymphoma/lymphoid
Malignant carcinoid tumor of small intestine,neuroendocrine
Primary malignant neoplasm of both ovaries,ovarian
Merkel cell carcinoma of lower limb,skin
Malignant histiocytosis (clinical),histiocytosis
Hodgkin's disease of lymph nodes of axilla AND/OR upper limb,lymphoma/lymphoid
"Hodgkin's disease, nodular sclerosis of extranodal AND/OR solid organ site",lymphoma/lymphoid
Mycosis fungoides of inguinal lymph node,lymphoma/lymphoid
Nodular lymphoma of lymph nodes of inguinal region and lower limb,lymphoma/lymphoid
Sarcoma of liver,liver
Primary malignant neoplasm of sublingual gland,salivary gland
B-cell Hodgkin's lymphoma,lymphoma/lymphoid
Primary malignant neoplasm of Meckel's diverticulum,small intestine
